sku,name,brand,category,description,unit,price,hsn,image,descimage
LC01-L400-140,ROTOR (ASS)_32X6 ML SWING OUT ROTOR_0131-00-0140_L30-140 ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,27460,,,
LC01-L30-125,ROTOR (ASS)_16X15 ML SWING OUT ROTOR_0131-00-0139_L30 ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,20942,,,
LC01-L30-129,ROTOR (ASS)_4X50 ML SWING OUT ROTOR_0131-00-0141_L30 ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,15924,,,
LC01-L30-130,ROTOR (ASS)_4X100 ML SWING OUT ROTOR_0131-00-0156_L30 ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,18016,,,
LC01-L400-124,ROTOR (ASS)_2X MICEOPLATE SWING ROTOR_0131-00-0124_L30-124 ROTOR,Neuation / Accumax,Rotors & Buckets,,pack,39505,,,
LC01-L30-131,ROTOR (ASS)_16X15 ML FIX ANGLE ROTOR_0131-00-0150_L400_MACHINING_ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,13557,,,
LC01-L30-135,ROTOR (ASS)_4X50 ML FIX ANGLE ROTOR_0131-00-0147_L400_MACHINING_ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,9718,,,
LC01-L30-136,ROTOR (ASS)_4X100 ML FIX ANGLE ROTOR_0131-00-0146_L400 _MACHINING_ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,18423,,,
LC01-L30-137,ROTOR (ASS)_24X15 ML FIX ANGLE ROTOR_0131-00-0149_L400_MACHINING_ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,22752,,,
IFUGE UC02,IFUGE UC02,Neuation / Accumax,Centrifuges,,unit,132784,,,
IFUGE UC02R,IFUGE UC02R,Neuation / Accumax,Centrifuges,,unit,244008,,,
UC-139,ROTOR (ASS)_16X15 ML SWING OUT ROTOR_0134-00-0139_UC02 (UC-139),Neuation / Accumax,Rotors & Buckets,,unit,21079,,,
UC-146,ROTOR (ASS)_4X100 ML FIX ANGLE ROTOR_0134-00-0146_UC02 _MACHINING(UC-146),Neuation / Accumax,Rotors & Buckets,,unit,18823,,,
UC-600,ROTOR (ASS)_24 SLOTX2ML FIX ANGLE_0134-00-0601_UC02 (UC-600),Neuation / Accumax,Rotors & Buckets,,unit,30815,,,
UC-700,ROTOR (ASS)_44 SLOTX2ML FIX ANGLE_0134-00-0701_UC02 (UC-700),Neuation / Accumax,Rotors & Buckets,,unit,38669,,,
UC-800,ROTOR (ASS)_4SLOT X 8PCR FIX ANGLE_0134-00-0801_UC02 (UC-800),Neuation / Accumax,Rotors & Buckets,,unit,40170,,,
UC-900,ROTOR (ASS)_8 SLOT X 5ML FIX ANGLE_0134-00-0900_UC02 (UC-900),Neuation / Accumax,Rotors & Buckets,,unit,35747,,,
UC-141,ROTOR (ASS)_4X50 ML SWING OUT ROTOR_0134-00-0141_UC02 (UC-141),Neuation / Accumax,Rotors & Buckets,,unit,17717,,,
UC-142,ROTOR (ASS)_4X100 ML SWING OUT ROTOR_0134-00-0142_UC02 (UC-142),Neuation / Accumax,Rotors & Buckets,,unit,16921,,,
UC-124,ROTOR (ASS)_2X MICEOPLATE SWING ROTOR_0134-00-0124_UC02 (UC-124),Neuation / Accumax,Rotors & Buckets,,pack,36556,,,
UC-140,ROTOR (ASS)_32X6 ML SWING OUT ROTOR_0134-00-0140_UC02 (UC-140),Neuation / Accumax,Rotors & Buckets,,unit,26068,,,
UC-150,ROTOR (ASS)_16X15 ML FIX ANGLE ROTOR_0134-00-0150_UC02_MACHINING(UC-150),Neuation / Accumax,Rotors & Buckets,,unit,23019,,,
UC-147,ROTOR (ASS)_4X50 ML FIX ANGLE ROTOR_0134-00-0147_UC02_MACHINING(UC-147),Neuation / Accumax,Rotors & Buckets,,unit,18823,,,
UC-149,ROTOR (ASS)_24X15 ML FIX ANGLE ROTOR_0134-00-0149_UC02_MACHINING(UC-149),Neuation / Accumax,Rotors & Buckets,,unit,26462,,,
UC-148,ROTOR (ASS)_6X50 ML FIX ANGLE ROTOR_0134-00-0148_UC02_MACHINING(UC-148),Neuation / Accumax,Rotors & Buckets,,unit,27237,,,
UC-156,ROTOR (ASS)_4X100 ML SWING OUT ROTOR_0134-00-0156_UC02 (UC-156),Neuation / Accumax,Rotors & Buckets,,unit,31761,,,
IFUGE L1000,IFUGE L1000,Neuation / Accumax,Centrifuges,,unit,118582,,,
LC02-L1000-140,ROTOR (ASS)_32X6 ML SWING OUT ROTOR_0140-00-0140_(L1000-140),Neuation / Accumax,Rotors & Buckets,,unit,27124,,,
LC02-L1000-147,ROTOR (ASS)_4X50 ML FIX ANGLE COMMAN ROTOR_0140-00-0147_(L1000-147),Neuation / Accumax,Rotors & Buckets,,unit,8456,,,
LC02-L1000-146,ROTOR (ASS)_4X100 ML FIX ANGLE COMMAN ROTOR_0140-00-0146_(L1000-146),Neuation / Accumax,Rotors & Buckets,,unit,17714,,,
LC02-L1000-149,ROTOR (ASS)_24X15 ML FIX ANGLE COMMAN ROTOR_0140-00-0149_(L1000-149),Neuation / Accumax,Rotors & Buckets,,unit,21264,,,
LC02-L1000-139,ROTOR (ASS)_16X15 ML SWING OUT ROTOR_0134-00-0139_L1000 (L1000-139),Neuation / Accumax,Rotors & Buckets,,unit,15054,,,
LC02-L1000-141,ROTOR (ASS)_4X50 ML SWING OUT ROTOR_0140-00-0141_(L1000-141),Neuation / Accumax,Rotors & Buckets,,unit,10792,,,
LC02-L1000-156,ROTOR (ASS)_4X100 ML SWING OUT ROTOR_0140-00-0156_(L1000-156),Neuation / Accumax,Rotors & Buckets,,unit,33166,,,
LC02-L1000-142,ROTOR (ASS)_4X100 ML SWING OUT ROTOR_0140-00-0142_(L1000-142),Neuation / Accumax,Rotors & Buckets,,unit,18074,,,
ISWIX JR.,ISWIX JR.,Neuation / Accumax,Other,,unit,10122,,,
ISWIX JR. VT,ISWIX JR. VT,Neuation / Accumax,Other,,unit,12816,,,
ISWIX JR. NXT,ISWIX JR. NXT,Neuation / Accumax,Other,,unit,5647,,,
ISWIX JR. VT NXT,ISWIX JR. VT NXT,Neuation / Accumax,Other,,unit,5772,,,
ISWIX FS,ISWIX FS,Neuation / Accumax,Other,,unit,10892,,,
ISWIX,ISWIX,Neuation / Accumax,Other,,unit,14097,,,
ISWIX VT,ISWIX VT,Neuation / Accumax,Other,,unit,18041,,,
VM-A1,0201-00-0000-0-028_UN_ATTACH_PL_PPGF_3 (VM-A1),Neuation / Accumax,Other,,unit,1343,,,
VM-A2,0201-00-0000-0-033_FOAM MICRO TUBE_PE FOAM (VM-A2),Neuation / Accumax,Other,,unit,1343,,,
VM-A3,0201-00-0000-0-031_FOAM_MICRO PLATE_PE FOAM (VM-A3),Neuation / Accumax,Other,,pack,2013,,,
VM-A4,0201-00-0000-0-034_FLASK_HOLD_RB_NI_3 (VM-A4),Neuation / Accumax,Bottles & Carboys,,unit,2013,,,
VM-A6,VORTEX ROUND DISK ATTACHMENT (VM-A6),Neuation / Accumax,Lab Equipment,,unit,1921,,,
VM-A7,0201-00-0000-0-030_STD_ATT_N_PRO_PL_TPE-H_14 (VM-A7),Neuation / Accumax,Other,,unit,2013,,,
VM-A8,0201-00-0500_CIRCULAR ATTACHEMENT ASLY_RUBBER_R1,Neuation / Accumax,Other,,unit,2013,,,
ISWIX MV,ISWIX MV,Neuation / Accumax,Other,,unit,112550,,,
VM-M1,0205-00-0000-0-028_50 ML TUBE FOAM (VM-M1),Neuation / Accumax,Tubes & Vials,,unit,5370,,,
VM-M2,0205-00-0000-0-027_15 ML TUBE FOAM (VM-M2),Neuation / Accumax,Tubes & Vials,,unit,5630,,,
VM-M3,0205-00-0000-0-022_7 ML TUFE FOAM (VM-M3),Neuation / Accumax,Other,,unit,5630,,,
VM-M4,0205-00-0000-0-029_250 ML FLASK FOAM (VM-M4),Neuation / Accumax,Bottles & Carboys,,unit,5904,,,
VM-M6,0205-00-0000-0-050_2-1.5ML TUBE FOAM (VM-M6),Neuation / Accumax,Tubes & Vials,,unit,5904,,,
VM-M7,0205-00-0000-0-051_50ML HORIZONTAL TUBE FOAM (VM-M7),Neuation / Accumax,Tubes & Vials,,unit,5630,,,
IROLL RNR4,IROLL RNR4 (220V),Neuation / Accumax,Tube Rollers,,unit,13053,,,
IROLL RNR6,IROLL RNR6 (2.0),Neuation / Accumax,Tube Rollers,,unit,29462,,,
IROLL DR24,IROLL DR 24,Neuation / Accumax,Tube Rollers,,unit,40276,,,
D1-50,ATTECHMENT(ASS)DR24_12 X 50ML CLAMP (DR01 D1),Neuation / Accumax,Rotors & Buckets,,unit,7260,,,
D2-50,ACCESSORIES - DR01-D2 = DISK ROTATOR WITH CLAMP SET 24 X 15 ML,Neuation / Accumax,Other,,unit,6538,,,
D3-05,ATTECHMENT(ASS)DR24_44 X 2ML CLAMP (DR01 D3),Neuation / Accumax,Rotors & Buckets,,unit,7260,,,
IROLL PR35,IROLL PR 35,Neuation / Accumax,Tube Rollers,,unit,44304,,,
P1-50,50 ML TUBE TRAY (ASS)_0245-00-04 (PR01 P1),Neuation / Accumax,Rotors & Buckets,,unit,7260,,,
P2-15,15 ML TUBE TRAY (ASS)_0245-00-03 (PR01 P2),Neuation / Accumax,Rotors & Buckets,,unit,6538,,,
P3-05,2_5 ML TUBE TRAY (ASS)_0245-00-05 (PR01 P3),Neuation / Accumax,Rotors & Buckets,,unit,7260,,,
ISTIR UNO,ISTIR UNO CAPP WHITE,Neuation / Accumax,Other,,unit,14170,,,
ISTIR QUATTRO,ISTIR QUATTRO,Neuation / Accumax,Other,,unit,30189,,,
ISTIR 50L,ISTIR 50L(-) (2.0),Neuation / Accumax,Other,,unit,38736,,,
ISTIR 100L,ISTIR 100L(-) (2.0),Neuation / Accumax,Other,,unit,39158,,,
ISTIR 200L,ISTIR 200L(-) (2.0),Neuation / Accumax,Other,,unit,41531,,,
ISTIR MS10,ISTIR MS10 (220 V),Neuation / Accumax,Other,,unit,13840,,,
ISTIR MS10A,ISTIR MS10A (220 V),Neuation / Accumax,Other,,unit,11534,,,
ISTIR HP320,ISTIR HP 320 (220 V),Neuation / Accumax,Other,,unit,28554,,,
ISTIR HP320A,ISTIR HP 320A (220 V) DOUBLE KNOB,Neuation / Accumax,Other,,unit,20948,,,
S1 (FOR HP 550)/PRIME S2 (FOR HP 320),PT 1000 (STAND ASS)_HPS 350/550 (HS10/20 S1),Neuation / Accumax,Rotors & Buckets,,unit,1130,,,
T1 (FOR HP 550)/PRIME T2 (FOR HP 320),0311-00-0201-0-051_PT1000 SENSOR (HS10/20 T1+T2),Neuation / Accumax,Other,,unit,2547,,,
QP,0341-00-0000-0-010_CARRYING_PLATE (HS10/20 QP),Neuation / Accumax,Other,,pack,5474,,,
Q20,0341-00-0000-0-002_4X20ML_QUARTER_BLOCK (HS10/20 Q20),Neuation / Accumax,Other,,unit,4303,,,
Q30,0341-00-0000-0-001_4X30ML_QUARTER_BLOCK (HS10/20 Q30),Neuation / Accumax,Other,,unit,4303,,,
Q16,0341-00-0000-0-003_7X16ML_QUARTER_BLOCK (HS10/20 Q16),Neuation / Accumax,Other,,unit,4661,,,
Q8,0341-00-0000-0-004_10X8ML_QUARTER_BLOCK (HS10/20 Q08),Neuation / Accumax,Other,,unit,5164,,,
Q4,0341-00-0000-0-005_12X4ML_QUARTER_BLOCK (HS10/20 Q04),Neuation / Accumax,Other,,unit,5164,,,
RB50,0341-00-0000-0-011_50ML _REACTION_BLOCK (HS10/20 RB50),Neuation / Accumax,Other,,unit,7745,,,
RB100,0341-00-0000-0-008_100ML _REACTION_BLOCK (HS10/20 RB100),Neuation / Accumax,Other,,unit,7745,,,
RB250,0341-00-0000-0-007_250ML_REACTION_BLOCK (HS10/20 RB250),Neuation / Accumax,Other,,unit,7745,,,
RB500,0341-00-0000-0-006_500ML _REACTION_BLOCK (HS10/20 RB500),Neuation / Accumax,Other,,unit,7745,,,
HP380A,ISTIR HP 380A,Neuation / Accumax,Other,,unit,27615,,,
HP450A,ISTIR HP 450A,Neuation / Accumax,Other,,unit,39139,,,
ISTIR HP550 PRIME,ISTIR HP 550 PRIME,Neuation / Accumax,Other,,unit,47429,,,
ISTIR HP 350 PRIME,ISTIR HP 350 PRIME,Neuation / Accumax,Other,,unit,47429,,,
ISTIR HP 5M,ISTIR HP 5M (220 V),Neuation / Accumax,Other,,unit,53736,,,
ISTIR HP 10M,ISTIR HP 10M (220 V),Neuation / Accumax,Other,,unit,75604,,,
ISTIR HP 15M,ISTIR HP 15M (220 V),Neuation / Accumax,Other,,unit,107054,,,
ISTIR OH 20 PRIME,ISTIR OH 20P,Neuation / Accumax,Other,,unit,43036,,,
ISTIR OH 40 PRIME,ISTIR OH 40P,Neuation / Accumax,Other,,unit,45013,,,
ISTIR OH 75 ELITE,ISTIR OH 75E,Neuation / Accumax,Other,,unit,74272,,,
ISTIR OH 15 PRIME,ISTIR OH 15P,Neuation / Accumax,Other,,unit,29051,,,
ITHERM D150-1,ITHERM D150-1 (2.0) SINGLE BLOCK,Neuation / Accumax,Other,,unit,18769,,,
ITHERM D150-4,ITHERM D150-4,Neuation / Accumax,Other,,unit,50986,,,
DB02-B1,0601-00-0104-0-021_HEATING_BLOCK (DB01 B1),Neuation / Accumax,Other,,unit,9490,,,
DB02-B2,0601-00-0104-0-010_1.5ML HEATING BLOCK (DB01 B2),Neuation / Accumax,Other,,unit,9490,,,
DB02-B3,15 ML HEATING BLOCK (DB01 B3),Neuation / Accumax,Other,,unit,9490,,,
DB02-B4,50 ML HEATING BLOCK (DB01 B4),Neuation / Accumax,Other,,unit,9490,,,
DB02-B5,0601-00-0104-0-047_10MM_RB_HTNG_BLK_66MM,Neuation / Accumax,Other,,unit,8785,,,
DB02-BB,0602-00-0102-0-015_BEAD_BLOCK_AL,Neuation / Accumax,Other,,unit,9490,,,
BLOCK LIFTER,0601-00-0000-0-034_BLOCK LIFTER,Neuation / Accumax,Other,,unit,260,,,
DB01-B - SS METAL BEADS,SS 304 METAL BEADS_3.2MM,Neuation / Accumax,Other,,unit,5342,,,
ITHERM CH25,ITHERM CH25,Neuation / Accumax,Other,,unit,64181,,,
IRUPT 24P,IRUPT 24P,Neuation / Accumax,Homogenizers,,unit,324508,,,
CH01-TA1,2 ML TUBE CARRIAGE KIT (ASS)_0261-00-0500 (CH01 TA1),Neuation / Accumax,Rotors & Buckets,,unit,9908,,,
CH01-TA3,7 ML ROTOR KIT_0261-00-0600(FOR I RUPT 24P) - (CH01 TA3),Neuation / Accumax,Rotors & Buckets,,unit,12730,,,
IRUPT JR.,IRUPT JR.,Neuation / Accumax,Homogenizers,,unit,58092,,,
CH01-A01,0261-00-0400-0-057_2 ML TUBE (CH01 A01),Neuation / Accumax,Tubes & Vials,,unit,27,,,
CH01-A02,0261-00-0400-0-058_0.4-0.6 MM GLASS BEADS (CH01 A02),Neuation / Accumax,Other,,unit,27491,,,
CH01-A03,0261-00-0400-0-059_0.8-1.2 MM GLASS BEADS (CH01 A03),Neuation / Accumax,Other,,unit,27491,,,
CH01-A04,0261-00-0400-0-060_2.5-3.0 MM GLASS BEADS (CH01 A04),Neuation / Accumax,Other,,unit,27491,,,
CH01-A05,0261-00-0400-0-064_1.0-1.2 MM YTZP(94%) BEADS (CH01 A05),Neuation / Accumax,Other,,unit,54696,,,
CH01-A06,0261-00-0400-0-065_1.4-1.7 MM YTZP(94%) BEADS (CH01 A06),Neuation / Accumax,Other,,unit,54696,,,
CH01-A07,0261-00-0400-0-066_2.6-3.3 MM YTZP(94%) BEADS (CH01 A07),Neuation / Accumax,Other,,unit,54696,,,
CH01-A08,0261-00-0400-0-068_2MM SS BEADS (CH01 A08),Neuation / Accumax,Other,,unit,54696,,,
CH01-A09,0261-00-0400-0-067_3 MM SS BEADS (CH01 A09),Neuation / Accumax,Other,,unit,54696,,,
ISHAK BL UNO VT,ISHAK BL UNO VT WITHOUT USB,Neuation / Accumax,Other,,unit,14258,,,
ISHAK QUATTRO NXT,ISHAK QUATTRO (2.0),Neuation / Accumax,Other,,unit,30310,,,
ISHAK TS4 NXT,ISHAK TS4 NXT,Neuation / Accumax,Other,,unit,74784,,,
ISHAK 3D-5 NXT,ISHAK 3D-5 (2.0),Neuation / Accumax,Other,,unit,40097,,,
STICKY PAD MAT,0225-00-0102-0-060_SILICON STICKY MAT ( SH03 M3-2),Neuation / Accumax,Other,,unit,1673,,,
ISHAK PS 10 NXT,ISHAK PS 10 NXT,Neuation / Accumax,Other,,unit,65908,,,
DA-01,ATTECHMENT(ASS)7.5_DISK ATTECHMENT (SH01 DA-01),Neuation / Accumax,Rotors & Buckets,,unit,6974,,,
ISHAK PS 20 NXT,ISHAK PS 20 NXT,Neuation / Accumax,Other,,unit,65908,,,
UA-01,UNIVERSAL ATTACHMENT_7.5 (SH01 UA-01),Neuation / Accumax,Other,,unit,8055,,,
ISHAK US15,ISHAK US 15,Neuation / Accumax,Other,,unit,148293,,,
UA-15,UNIVERSAL ATTACHMENT_15 KGS (SH02 UA-15),Neuation / Accumax,Other,,unit,43633,,,
SSP-250,0251-00-0113-0-109_SS_TRAY_250ML (SH02 SSP-250),Neuation / Accumax,Other,,unit,23494,,,
SC-100,0231-00-0131-0-111_100ML SS CLAMP WITH SPRING (SH01//SH02 SC-100),Neuation / Accumax,Other,,unit,870,,,
SC-1000,0231-00-0136-0-115_1000ML CLAMP PLATE (SH01//SH02 SC-1000),Neuation / Accumax,PCR & Plates,,pack,1915,,,
