sku,name,brand,category,description,unit,price,hsn,image,descimage
PRP-1255,MAG_BAR-PIVOT RING TYPE_SIZE:12*55MM,Neuation / Accumax,Other,,unit,702,,,
PRP-16100,MAG_BAR-PIVOT RING TYPE_SIZE:16*100MM,Neuation / Accumax,Other,,unit,1740,,,
PRP-612,MAG_BAR-PIVOT RING TYPE_SIZE:6*12MM,Neuation / Accumax,Other,,unit,94,,,
PRP-816,MAG_BAR-PIVOT RING TYPE_SIZE:8*16MM,Neuation / Accumax,Other,,unit,145,,,
PRP-825,MAG_BAR-PIVOT RING TYPE_SIZE:8*25MM,Neuation / Accumax,Other,,unit,203,,,
PRP-830,MAG_BAR-PIVOT RING TYPE_SIZE:8*30MM,Neuation / Accumax,Other,,unit,232,,,
PRP-845,MAG_BAR-PIVOT RING TYPE_SIZE:8*45MM,Neuation / Accumax,Other,,unit,259,,,
PRP-848,MAG_BAR-PIVOT RING TYPE_SIZE:8*48MM,Neuation / Accumax,Other,,unit,293,,,
FA-01,ATTECHMENT(ASS)7.5_FUNNEL ATTECHMENT (SH01 FA-01),Neuation / Accumax,Rotors & Buckets,,unit,14171,,,
OHA-R01,IMPELLERS_0351-00-0600_CROSS-WELDED IMPELLER_50X12X550MM (OHS R01),Neuation / Accumax,Other,,unit,3467,,,
OHS- R05,IMPELLERS_0352-00-1000_PIVOTING BLADE IMPELLER_60X15X550MM (OHS R05),Neuation / Accumax,Other,,unit,4028,,,
OHS1-HBPH - Bosshead Clamp,BOSSHEAD 25X14 (ASS)_0354-00-4003-0-007_ROUND_BOSSHEAD_DIA25X14,Neuation / Accumax,Rotors & Buckets,,unit,4346,,,
OHS1-PBH - Bosshead Clamp,0351-00-2001_ROUND_BOSSHEAD_DIA_16X14,Neuation / Accumax,Other,,unit,4482,,,
OHS1-PS-1000,0351-00-3002-PLATE_STAND_200X315X1000_(PS-1000),Neuation / Accumax,Other,,pack,13746,,,
OHS1-PS-560,0351-00-3000-PLATE_STAND_200X315X560_(PS-560),Neuation / Accumax,Other,,pack,11713,,,
OHS1-PS-800,0351-00-3001-PLATE_STAND_200X315X800_(PS-800),Neuation / Accumax,Other,,pack,12657,,,
OHS-A01,IMPELLERS_0351-00-2700_PROPELLER IMPELLER_50X8X550MM (OHS A01),Neuation / Accumax,Other,,unit,2378,,,
OHS-A02,IMPELLERS_0352-00-2500_PROPELLER IMPELLER_100X15X550MM (OHS A02),Neuation / Accumax,Other,,unit,4028,,,
OHS-A03,IMPELLERS_0354-00-2600_PROPELLER IMPELLER_130X15X800MM (OHS A03),Neuation / Accumax,Other,,unit,5677,,,
OHS-C1,0354-00-0000-0-025_95LTS TYPE A 15MM PARALLEL MOUNT (OHS C1),Neuation / Accumax,Other,,unit,6693,,,
OHS-C2,0362-00-0000-0-045_KEYLESS_CHUCK,Neuation / Accumax,Other,,unit,8211,,,
OHS-C3,0362-00-0000-0-047_10MM_FIX_PUSH_THROUGH_COLLET,Neuation / Accumax,Other,,unit,1076,,,
OHS-CC,0362-00-0000-0-046_OHS_SILICON_COVER,Neuation / Accumax,Other,,unit,179,,,
OHS-HBH Bosshead,0354-00-4002-ROUND_BOSSHEAD_DIA25X16_HBH-BOSS HEAD (H STAND STAND),Neuation / Accumax,Other,,unit,5366,,,
OHS-HS - H Stand,0354-00-4000-H_STAND_(HS=H-STAND)(WITHOUT BOSSHEAD CLAMP),Neuation / Accumax,Other,,unit,27157,,,
OHS-R02,IMPELLERS_0351-00-0700_STRAIGHT_BLADE_IMPELLER_35X12X550MM (OHS R02),Neuation / Accumax,Other,,unit,3107,,,
OHS-R03,IMPELLERS_0352-00-0800_STRAIGHT BLADE IMPELLER_50X12X550MM (OHS R03),Neuation / Accumax,Other,,unit,3848,,,
OHS-R07,IMPELLERS_0352-00-1200_COLLAPSIBLE BLADE IMPELLER_80X10X550MM (OHS R07),Neuation / Accumax,Other,,unit,3657,,,
OHS-T02,IMPELLERS_0352-00-1400_SQUARE BLADE IMPELLER_38X38X550MM (OHS T02),Neuation / Accumax,Other,,unit,4207,,,
OHS-T03,IMPELLERS_0354-00-1500_SQUARE BLADE IMPELLER_70X70X800MM (OHS T03),Neuation / Accumax,Other,,unit,5498,,,
OHS-T05,IMPELLERS_0352-00-1700_ANCHOR BLADE IMPELLER_45X45X550MM (OHS T05),Neuation / Accumax,Other,,unit,4028,,,
OHS-T06,IMPELLERS_0354-00-1800_ANCHOR BLADE IMPELLER_90X80X800MM (OHS T06),Neuation / Accumax,Other,,unit,5857,,,
OHS-T08,IMPELLERS_0352-00-2000_PADDLE BLADE IMPELLER_70X70X550MM (OHS T08),Neuation / Accumax,Other,,unit,5307,,,
OHS-T09,IMPELLERS_0354-00-2100_PADDLE BLADE IMPELLER_70X70X800MM (OHS T09),Neuation / Accumax,Other,,unit,6228,,,
OHS-T10,IMPELLERS_0352-00-2200_PADDLE BLADE IMPELLER_70X80X550MM (OHS T10),Neuation / Accumax,Other,,unit,5307,,,
OHS-T11,IMPELLERS_0354-00-2300_PADDLE BLADE IMPELLER_70X80X800MM (OHS T11),Neuation / Accumax,Other,,unit,6228,,,
AT-10-B,AT-10-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,25622,,,
AT-10-S-B,AT-10-S-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,31173,,,
AT-10-F-B,AT-10-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,103719,,,
AT-10-S-L-B,AT-10-S-L-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,52384,,,
AT-10-S-F-B,AT-10-S-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,124098,,,
AT-10-S-L-F-B,AT-10-S-L-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,138371,,,
AT-10-R,AT-10-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,23256,,,
AT-10-S-R,AT-10-S-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,26266,,,
AT-10-F-R,AT-10-F-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,30975,,,
AT-10-S-L-R,AT-10-S-L-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,30294,,,
AT-10-S-F-R,AT-10-S-F-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,46239,,,
AT-10-S-L-F-R,AT-10-S-L-F-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,55867,,,
AT-10-K,AT-10-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,17183,,,
AT-10-S-K,AT-10-S-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,18386,,,
AT-10-S-L-K,AT-10-S-L-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,24259,,,
AT-10-F-K,AT-10-F-K (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-10-S-F-K,AT-10-S-F-K (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,36302,,,
AT-10-S-L-F-K,AT-10-S-L-F-K (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,39933,,,
AT-10XL-B,AT-10XL-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,25572,,,
AT-10XL-S-B,AT-10XL-S-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,31173,,,
AT-10XL-F-B,AT-10XL-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,103719,,,
AT-10XL-S-L-B,AT-10XL-S-L-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,52384,,,
AT-10XL-S-F-B,AT-10XL-S-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,130293,,,
AT-10XL-S-L-F-B,AT-10XL-S-L-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,138371,,,
AT-10XL-R,AT-10XL-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,23256,,,
AT-10XL-S-R,AT-10XL-S-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,26266,,,
AT-10XL-F-R,AT-10XL-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,30975,,,
AT-10XL-S-L-R,AT-10XL-S-L-R (96 TIPS X 10 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,30975,,,
AT-10XL-S-F-R,AT-10XL-S-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,46239,,,
AT-10XL-S-L-F-R,AT-10XL-S-L-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,55867,,,
AT-10XL-K,AT-10XL-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,17183,,,
AT-10XL-S-K,AT-10XL-S-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,18386,,,
AT-10XL-S-L-K,AT-10XL-S-L-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,24259,,,
AT-10XL-F-K,AT-10XL-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-10XL-S-F-K,AT-10XL-S-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,36302,,,
AT-10XL-S-L-F-K,AT-10XL-S-L-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,39933,,,
AT-10XN-B,AT-10XN-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,25572,,,
AT-10XN-S-B,AT-10XN-S-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,31173,,,
AT-10XN-F-B,AT-10XN-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,103719,,,
AT-10XN-S-L-B,AT-10XN-S-L-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,52384,,,
AT-10XN-S-F-B,AT-10XN-S-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,130293,,,
AT-10XN-S-L-F-B,AT-10XN-S-L-F-B (1000 TIPS X 40 PACKS),Neuation / Accumax,Pipette Tips,,pack,144269,,,
AT-10XN-R,AT-10XN-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,23256,,,
AT-10XN-S-R,AT-10XN-S-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,26266,,,
AT-10XN-F-R,AT-10XN-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,30975,,,
AT-10XN-S-L-R,AT-10XN-S-L-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,30975,,,
AT-10XN-S-F-R,AT-10XN-S-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,46239,,,
AT-10XN-S-L-F-R,AT-10XN-S-L-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,55867,,,
AT-10XN-K,AT-10XN-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,17183,,,
AT-10XN-S-K,AT-10XN-S-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,18386,,,
AT-10XN-S-L-K,AT-10XN-S-L-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,24259,,,
AT-10XN-F-K,AT-10XN-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-10XN-S-F-K,AT-10XN-S-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,36302,,,
AT-10XN-S-L-F-K,AT-10XN-S-L-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,39933,,,
AT-10XN-E-R,AT-10 XN-E-R (10 RACKS X 10 PACKS),Neuation / Accumax,Other,,pack,15487,,,
AT-20-F-B,AT-20-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,61355,,,
AT-20-S-F-B,AT-20-S-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,65394,,,
AT-20-S-L-F-B,AT-20-S-L-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,69408,,,
AT-20-F-R,AT-20-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,41816,,,
AT-20-S-F-R,AT-20-S-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,45843,,,
AT-20-S-L-F-R,AT-20-S-L-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,56387,,,
AT-20-F-K,AT-20-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-20-S-F-K,AT-20-S-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,40305,,,
AT-20-S-L-F-K,AT-20-S-L-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,44331,,,
AT-50-F-B,AT-50-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,58431,,,
AT-50-S-F-B,AT-50-S-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,68392,,,
AT-50-S-L-F-B,AT-50-S-L-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,69408,,,
AT-50-F-R,AT-50-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,41816,,,
AT-50-S-F-R,AT-50-S-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,46710,,,
AT-50-S-L-F-R,AT-50-S-L-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,56387,,,
AT-50-F-K,AT-50-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-50-S-F-K,AT-50-S-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,40305,,,
AT-50-S-L-F-K,AT-50-S-L-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,44331,,,
AT-100-F-B,AT-100-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,61355,,,
AT-100-S-F-B,AT-100-S-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,65394,,,
AT-100-S-L-F-B,AT-100-S-L-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,69408,,,
AT-100-F-R,AT-100-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,41816,,,
AT-100-S-F-R,AT-100-S-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,46710,,,
AT-100-S-L-F-R,AT-100-S-L-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,56387,,,
AT-100-F-K,AT-100-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-100-S-F-K,AT-100-S-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,40305,,,
AT-100-S-L-F-K,AT-100-S-L-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,44331,,,
AT-200-B,AT-200-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,11040,,,
AT-200-S-B,AT-200-S-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,13876,,,
AT-200-F-B,AT-200-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,61355,,,
AT-200-S-L-B,AT-200-S-L-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,26192,,,
AT-200-S-F-B,AT-200-S-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,68392,,,
AT-200-S-L-F-B,AT-200-S-L-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,69408,,,
AT-200-R,AT-200-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,24780,,,
AT-200-S-R,AT-200-S-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,26712,,,
AT-200-F-R,AT-200-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,41816,,,
AT-200-S-L-R,AT-200-S-L-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,38892,,,
AT-200-S-F-R,AT-200-S-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,46710,,,
AT-200-S-L-F-R,AT-200-S-L-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,56387,,,
AT-200-K,AT-200-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,17183,,,
AT-200-S-K,AT-200-S-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,22698,,,
AT-200-F-K,AT-200-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-200-S-F-K,AT-200-S-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,40305,,,
AT-200-S-L-F-K,AT-200-S-L-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,44331,,,
AT-200-S-L-K,AT-200-S-L-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,24705,,,
AT-1000-B,AT-1000-B (1000 TIPS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,8162,,,
AT-1000-S-B,AT-1000-S-B (1000 TIPS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,12378,,,
AT-1000-F-B,AT-1000-F-B (1000 TIPS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,36538,,,
AT-1000-S-L-B,AT-1000-S-L-B (1000 TIPS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,18424,,,
AT-1000-S-F-B,AT-1000-S-F-B (1000 TIPS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,38892,,,
AT-1000-S-L-F-B,AT-1000-S-L-F-B (1000 TIPS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,45608,,,
AT-1000-R,AT-1000-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,16813,,,
AT-1000-S-R,AT-1000-S-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,19526,,,
AT-1000-F-R,AT-1000-F-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,28893,,,
AT-1000-S-L-R,AT-1000-S-L-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,23144,,,
AT-1000-S-F-R,AT-1000-S-F-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,32920,,,
AT-1000-S-L-F-R,AT-1000-S-L-F-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,40652,,,
AT-1000-K,AT-1000-K (96 TIPS X 5 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,11163,,,
AT-1000-S-K,AT-1000-S-K (96 TIPS X 5 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,13443,,,
AT-1000-F-K,AT-1000-F-K (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,28658,,,
AT-1000-S-F-K,AT-1000-S-F-K (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,31644,,,
AT-1000-S-L-F-K,AT-1000-S-L-F-K (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,46462,,,
AT-1000-S-W,AT-1000-S-W (200 TIPS X 5 PACKS),Neuation / Accumax,Pipette Tips,,pack,7514,,,
AT-200XL-B,AT-200XL-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,13782,,,
AT-200XL-S-B,AT-200XL-S-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,17346,,,
AT-200XL-F-B,AT-200XL-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,62272,,,
AT-200XL-S-L-B,AT-200XL-S-L-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,27258,,,
AT-200XL-S-F-B,AT-200XL-S-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,66311,,,
AT-200XL-S-L-F-B,AT-200XL-S-L-F-B (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,71862,,,
AT-200XL-R,AT-200XL-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,24780,,,
AT-200XL-S-R,AT-200XL-S-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,30975,,,
AT-200XL-F-R,AT-200XL-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,42572,,,
AT-200XL-S-L-R,AT-200XL-S-L-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,38892,,,
AT-200XL-S-F-R,AT-200XL-S-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,50803,,,
AT-200XL-S-L-F-R,AT-200XL-S-L-F-R (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,57489,,,
AT-200XL-K,AT-200XL-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,17183,,,
AT-200XL-S-K,AT-200XL-S-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,24991,,,
AT-200XL-S-L-K,AT-200XL-S-L-K (96 TIPS X 10 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,29773,,,
AT-200XL-F-K,AT-200XL-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,37690,,,
AT-200XL-S-F-K,AT-200XL-S-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,33932,,,
AT-200XL-S-L-F-K,AT-200XL-S-L-F-K (96 TIPS X 10 RACK X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,44347,,,
AT-1000XL-B,AT-1000XL-B (500 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,10052,,,
AT-1000XL-S-B,AT-1000XL-S-B (500 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,15140,,,
AT-1000XL-F-B,AT-1000XL-F-B (500 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,39325,,,
AT-1000XL-S-L-B,AT-1000XL-S-L-B (500 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,36600,,,
AT-1000XL-S-F-B,AT-1000XL-S-F-B (500 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,45005,,,
AT-1000XL-S-L-F-B,AT-1000XL-S-L-F-B (500 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,50377,,,
AT-1000XL-R,AT-1000XL-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,16436,,,
AT-1000XL-S-R,AT-1000XL-S-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,20249,,,
AT-1000XL-F-R,AT-1000XL-F-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,32499,,,
AT-1000XL-S-L-R,AT-1000XL-S-L-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,27976,,,
AT-1000XL-S-F-R,AT-1000XL-S-F-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,37489,,,
AT-1000XL-S-L-F-R,AT-1000XL-S-L-F-R (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,45979,,,
AT-1000XL-K,AT-1000XL-K (96 TIPS X 6 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,55544,,,
AT-1000XL-S-K,AT-1000XL-S-K (96 TIPS X 6 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,17965,,,
AT-1000XL-S-L-K,AT-1000XL-S-L-K (96 TIPS X 6 STACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,22538,,,
AT-1000XL-F-K,AT-1000XL-F-K (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,29785,,,
AT-1000XL-S-F-K,AT-1000XL-S-F-K (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,32499,,,
AT-1000XL-S-L-F-K,AT-1000XL-S-L-F-K (96 TIPS X 6 RACKS X 10 PACKS),Neuation / Accumax,Pipette Tips,,pack,35608,,,
AT-10 XL-E-R,AT-10 XL-E-R (10 RACKS X 10 PACKS),Neuation / Accumax,Other,,pack,15487,,,
AT-200-S-W,AT-200-S-W (400 TIPS X 5 PACKS),Neuation / Accumax,Pipette Tips,,pack,7694,,,
AT-200-S-L-W,AT-200-S-L-W (400 TIPS X 5 PACKS),Neuation / Accumax,Pipette Tips,,pack,9110,,,
AT-200-S-L-F-W,AT-200-S-L-F-W (400 TIPS X 5 PACKS),Neuation / Accumax,Pipette Tips,,pack,15104,,,
AT-1000-S-L-W,AT-1000-S-L-W (200 TIPS X 5 PACKS),Neuation / Accumax,Pipette Tips,,pack,8796,,,
AT-1000-S-L-F-W,AT-1000-S-L-F-W (200 TIPS X 5 PACKS),Neuation / Accumax,Pipette Tips,,pack,9014,,,
AT-200-BC,AT-200-B-(C) (1000 TIPS X 20 PACKS),Neuation / Accumax,Pipette Tips,,pack,11040,,,
